section	key	ru	uk	de	es	fr	pl	it	tr	pt	ro	bg	cs	sk	hu	el	sl	et	lt
Modal_AddWord	addword_category_label	Категория:	"=GOOGLETRANSLATE(C51; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C51; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C51; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C51; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C51; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C51; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C51; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C51; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C51; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C51; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C51; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C51; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C51; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C51; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C51; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C51; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C51; ""ru""; ""lt"")"
Modal_AddWord	addword_category_ph	Общие	"=GOOGLETRANSLATE(C52; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C52; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C52; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C52; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C52; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C52; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C52; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C52; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C52; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C52; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C52; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C52; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C52; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C52; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C52; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C52; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C52; ""ru""; ""lt"")"
Modal_AddWord	addword_btn_submit	✨ Проверить и добавить	"=GOOGLETRANSLATE(C53; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C53; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C53; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C53; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C53; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C53; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C53; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C53; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C53; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C53; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C53; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C53; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C53; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C53; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C53; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C53; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C53; ""ru""; ""lt"")"
Modal_AddWord	addword_success_msg	Слово успешно проверено и добавлено!	"=GOOGLETRANSLATE(C54; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C54; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C54; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C54; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C54; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C54; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C54; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C54; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C54; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C54; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C54; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C54; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C54; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C54; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C54; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C54; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C54; ""ru""; ""lt"")"
Modal_AddWord	addword_ai_checking	🧠 ИИ проверяет правописание и перевод...	"=GOOGLETRANSLATE(C55; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C55; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C55; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C55; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C55; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C55; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C55; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C55; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C55; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C55; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C55; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C55; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C55; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C55; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C55; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C55; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C55; ""ru""; ""lt"")"
Leaderboard	lead_title	🏆 Лига недели	"=GOOGLETRANSLATE(C56; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C56; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C56; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C56; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C56; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C56; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C56; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C56; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C56; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C56; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C56; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C56; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C56; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C56; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C56; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C56; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C56; ""ru""; ""lt"")"
Leaderboard	lead_position	Вы находитесь на	"=GOOGLETRANSLATE(C57; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C57; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C57; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C57; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C57; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C57; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C57; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C57; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C57; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C57; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C57; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C57; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C57; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C57; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C57; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C57; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C57; ""ru""; ""lt"")"
Leaderboard	lead_position_end	месте	"=GOOGLETRANSLATE(C58; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C58; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C58; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C58; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C58; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C58; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C58; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C58; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C58; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C58; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C58; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C58; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C58; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C58; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C58; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C58; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C58; ""ru""; ""lt"")"
Leaderboard	lead_current_week	Текущая неделя	"=GOOGLETRANSLATE(C59; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C59; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C59; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C59; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C59; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C59; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C59; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C59; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C59; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C59; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C59; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C59; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C59; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C59; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C59; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C59; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C59; ""ru""; ""lt"")"
Leaderboard	lead_all_time	Общий зачёт	"=GOOGLETRANSLATE(C60; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C60; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C60; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C60; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C60; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C60; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C60; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C60; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C60; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C60; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C60; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C60; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C60; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C60; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C60; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C60; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C60; ""ru""; ""lt"")"
Leaderboard	lead_rules	Правила лиги	"=GOOGLETRANSLATE(C61; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C61; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C61; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C61; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C61; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C61; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C61; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C61; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C61; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C61; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C61; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C61; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C61; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C61; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C61; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C61; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C61; ""ru""; ""lt"")"
Leaderboard	lead_no_players	Игроки появятся после первого начисления XP	"=GOOGLETRANSLATE(C62; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C62; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C62; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C62; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C62; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C62; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C62; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C62; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C62; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C62; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C62; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C62; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C62; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C62; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C62; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C62; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C62; ""ru""; ""lt"")"
Leaderboard	lead_rule_correct	Правильный ответ: +1..+3 XP	"=GOOGLETRANSLATE(C63; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C63; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C63; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C63; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C63; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C63; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C63; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C63; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C63; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C63; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C63; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C63; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C63; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C63; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C63; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C63; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C63; ""ru""; ""lt"")"
Leaderboard	lead_rule_error	Ошибка: -5 XP	"=GOOGLETRANSLATE(C64; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C64; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C64; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C64; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C64; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C64; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C64; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C64; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C64; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C64; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C64; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C64; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C64; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C64; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C64; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C64; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C64; ""ru""; ""lt"")"
Leaderboard	lead_rule_reset	Сброс рейтинга каждый понедельник в 00:00 UTC	"=GOOGLETRANSLATE(C65; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C65; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C65; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C65; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C65; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C65; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C65; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C65; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C65; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C65; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C65; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C65; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C65; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C65; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C65; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C65; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C65; ""ru""; ""lt"")"
Training	train_left	Осталось слов	"=GOOGLETRANSLATE(C66; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C66; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C66; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C66; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C66; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C66; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C66; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C66; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C66; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C66; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C66; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C66; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C66; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C66; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C66; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C66; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C66; ""ru""; ""lt"")"
Training	train_in_progress	В обучении	"=GOOGLETRANSLATE(C67; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C67; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C67; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C67; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C67; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C67; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C67; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C67; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C67; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C67; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C67; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C67; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C67; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C67; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C67; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C67; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C67; ""ru""; ""lt"")"
Training	train_know	Знаю	"=GOOGLETRANSLATE(C68; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C68; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C68; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C68; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C68; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C68; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C68; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C68; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C68; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C68; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C68; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C68; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C68; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C68; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C68; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C68; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C68; ""ru""; ""lt"")"
Training	train_learn	Учить	"=GOOGLETRANSLATE(C69; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C69; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C69; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C69; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C69; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C69; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C69; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C69; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C69; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C69; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C69; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C69; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C69; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C69; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C69; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C69; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C69; ""ru""; ""lt"")"
Training	train_cant_speak	Не могу говорить	"=GOOGLETRANSLATE(C70; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C70; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C70; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C70; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C70; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C70; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C70; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C70; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C70; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C70; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C70; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C70; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C70; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C70; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C70; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C70; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C70; ""ru""; ""lt"")"
Training	train_check	Проверить	"=GOOGLETRANSLATE(C71; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C71; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C71; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C71; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C71; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C71; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C71; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C71; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C71; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C71; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C71; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C71; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C71; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C71; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C71; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C71; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C71; ""ru""; ""lt"")"
Training	train_continue	Продолжить	"=GOOGLETRANSLATE(C72; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C72; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C72; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C72; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C72; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C72; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C72; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C72; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C72; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C72; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C72; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C72; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C72; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C72; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C72; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C72; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C72; ""ru""; ""lt"")"
Training	train_mastered_title	Поздравляем!	"=GOOGLETRANSLATE(C73; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C73; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C73; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C73; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C73; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C73; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C73; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C73; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C73; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C73; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C73; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C73; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C73; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C73; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C73; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C73; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C73; ""ru""; ""lt"")"
Training	train_mastered_all_favs	Все избранные слова изучены!	"=GOOGLETRANSLATE(C74; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C74; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C74; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C74; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C74; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C74; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C74; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C74; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C74; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C74; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C74; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C74; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C74; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C74; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C74; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C74; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C74; ""ru""; ""lt"")"
